date,total_followers,new_followers,engagement,video_views,reach,content_views,video_original_output,video_repost_output,video_meme_output,article_original_output,article_repost_output,meme_original_output,meme_repost_output
1/01/2017,0,140,0,,0,0,0,,0,0,,0,
1/02/2017,25140,140,69135,,12231134,3441841.108,4,,2,4,,2,
1/03/2017,55953,5813,153870.75,,36789584,10352588.94,7,,10,18,,18,
1/04/2017,96447,15494,265229.25,,41399366,11649781.59,20,,20,24,,24,
1/05/2017,139109,17662,382549.75,,44309524,12468700.05,20,,20,24,,24,
1/06/2017,183037,18928,503351.75,,47332462,13319354.81,20,,20,24,,24,
1/07/2017,228279,20242,627767.25,,50448478,14196201.71,20,,20,24,,24,
1/08/2017,274875,21596,755906.25,,53685999,15107240.12,20,,20,24,,24,
1/09/2017,322876,23001,887909,,50627395.76,14246549.17,20,,20,24,,24,
1/10/2017,372336,24460,1023924,,57050488,16054007.32,20,,20,24,,24,
1/11/2017,423311,25975,1164105.25,,60547670,17038114.34,20,,20,24,,24,
1/12/2017,475860,27549,1308615,,64183550,18061250.97,20,,20,24,,24,
