date,total_followers,new_followers,engagement,video_views,reach,content_views,video_original_output,video_repost_output,video_meme_output,article_original_output,article_repost_output,meme_original_output,meme_repost_output,article_content_views,all_video_content_views,video_content_views,video_meme_content_views,meme_content_views
1/10/2015,,,,,,,,,,,,,,,,,,
1/11/2015,,,,,,,,,,,,,,,,,,
1/12/2015,,,,,,,,,,,,,,,,,,
1/01/2016,,,,,,,,,,,,,,,,,,
1/02/2016,,,,,,,,,,,,,,,,,,
1/03/2016,,,,,,,,,,,,,,,,,,
1/04/2016,,,,,,,,,,,,,,,,,,
1/05/2016,,,,,,,,,,,,,,,,,,
1/06/2016,,,,,,,,,,,,,,,,,,
1/07/2016,,,,,,,,,,,,,,,,,,
1/08/2016,,,,,,,,,,,,,,,,,,
1/09/2016,,,,,,,,,,,,,,,,,,
1/10/2016,,,,,,,,,,,,,,,,,,
1/11/2016,,,,,,,,,,,,,,,,,,
1/12/2016,,,,,,,,,,,,,,,,,,
1/01/2017,3160381,209761,10987373,165015231,579438067,509000000,36,132,35,142,132,192,32,2000000,50000000,40000000,10000000,150000000
1/02/2017,3320381,160000,8691048,128731463,441935267,357967566,58,132,22,124,132,192,32,2000000,50000000,40000000,10000000,150000000
1/03/2017,3488381,168000,9131048,135168096,464032031,375865945,49,72,20,106,72,192,32,2000000,50000000,40000000,10000000,150000000
1/04/2017,3664781,176400,9593048,141926501,487233632,394659242,50,72,20,106,72,192,32,2000000,50000000,40000000,10000000,150000000
1/05/2017,3850001,185220,10078148,149022826,511595314,414392204,50,72,20,124,72,192,32,2000000,50000000,40000000,10000000,150000000
1/06/2017,4044482,194481,10587503,156473967,537175079,435111814,50,72,20,130,72,192,32,2000000,50000000,40000000,10000000,150000000
1/07/2017,4248687,204205,11122326,164297625,564033695,456867293,50,72,20,130,72,192,32,2000000,50000000,40000000,10000000,150000000
1/08/2017,4463102,214415,11683889,172512305,592234689,479710098,50,72,20,130,72,192,32,2000000,50000000,40000000,10000000,150000000
1/09/2017,4688238,225136,12273531,181138122,621847114,503696163,50,72,20,130,72,192,32,2000000,50000000,40000000,10000000,150000000
1/10/2017,4924631,236393,12892655,190195189,652940023,528881418,50,72,20,130,72,192,32,2000000,50000000,40000000,10000000,150000000
1/11/2017,5172844,248213,13542735,199705230,685587990,555326272,50,72,20,130,72,192,32,2000000,50000000,40000000,10000000,150000000
1/12/2017,5433467,260623,14225321,209689968,719865595,583091132,50,72,20,130,72,192,32,2000000,50000000,40000000,10000000,150000000
